"New Loan? (Y=1, N=0)",Year of Data,Country,Type of Organization,Year founded,Product financed by Root Capital ,Number of suppliers,"Number of suppliers (with 5,000 member cap)",Country daily minimum wage,Total revenue (US$),Total revenue (US$) - adjusted,Volume of sales (lbs),"Fixed assets (property, plant & eqpmt (PPE)) (US$)",Total assets (US$),Total equity (US$),Total sales of product financed (US$),Export sales for product financed (US$),Export volume for product financed (lbs),% Export sales sold as certified Fairtrade,Amount of RC working capital loan (US$) approved,Amount of RC working capital loan (US$) disbursed,Total working capital debt (US$),Financing from commercial banks? (Y/N),Purchases from rural producers (US$),Purchases from rural producers (US$) - adjusted,Volume purchased from rural producers (lb),Average local price per pound at farmgate  (US$),Average price per pound paid by enterprise to rural producers (US$),Fair Trade certification? (Y/N),Utz Kapeh certification? (Y/N),Total acreage under cultivation (1 hectare = 2.4711 acres) - adjusted,Total acreage under organic cultivation,Total number of farmers certified organic,Total carbon sequestered (lbs),Purchases/Suppliers,Acreage/Suppliers,price/farmgate price
0,2008,0,2,1999,Coffee,1795,1795,11.71,7384455,7384455,4380800,672082,1771208,877495,6760075,6760075,4380800,0.71,1500000,2430000,2838559,1,6060094,6060094,3915449,1.18,1.55,1,0,9199.91,4131.68,936,15163262.66,3376.096936,5.125295432,1.311643411
0,2008,0,2,1995,Coffee,6219,5000,11.71,9046716,7273449.11,3893200,1057827,7348652,1884916,6086171,6086171,3893200,0,750000,1178000,6269271,1,5477554,4403886.48,4634800,1.2,1.18,1,0,8439.65,9343.23,3497,34289650.8,880.7772954,1.357074592,0.984859829
0,2008,1,1,1994,Coffee,296,296,4.52,1304679,1304679,816200,417632,743332,713768,1428904,1428904,816200,1,460000,310000,705000,0,1057206,1057206,746000,1.06,1.42,1,0,3306.33,2144.91,240,7871837.32,3571.641892,11.17003986,1.336949264
0,2008,2,1,1988,Coffee,1497,1497,7.73,3277931,3277931,1670300,1425091,2371023,537460,2807010,2807010,1670300,1,600000,554000,2048485,0,2171800,2171800,2171800,0.76,1,1,0,4262.65,4262.65,1497,15643916.33,1450.768203,2.84745992,1.319609396
0,2008,0,1,1968,Coffee,283,283,11.71,1257527,1257527,585800,81661,460762,119009,1120137,1063411,526800,0.95,600000,723000,766886,0,1101450,1101450,585800,1.3,1.88,1,0,1551.85,1455.48,236,5341603.89,3892.04947,5.483571731,1.446345563
0,2008,2,1,1998,Coffee,272,272,22.25,1930920,1930920,1100800,826926,1114126,584511,1765503,1765503,1100800,1,500000,650000,950000,0,1519922,1519922,1435000,0.79,1.06,1,1,3706.65,617.78,80,2267234.25,5587.948529,13.62738971,1.34073303
0,2008,2,1,2000,Coffee,46,46,22.25,7951,7951,201400,72361,96175,83642,467090,462590,299300,1,160000,80000,87939,0,0,0,143342,0.72,,1,0,397.85,397.85,,1460098.86,,8.64885,
0,2008,2,1,1991,Coffee,210,210,22.25,1688786,1688786,1072100,131050,691846,479576,1559298,1559298,1072100,0.6,355000,255000,727729,1,1289092,1289092,1000000,,1.29,1,0,1655.64,345.95,36,1269651.18,6138.533333,7.883985714,
0,2008,2,1,1968,Coffee,55,55,22.25,810256,810256,541200,99168,195030,173345,842820,792000,495000,1,0,280000,280000,1,580713,580713,375000,1.18,1.55,1,0,731.45,682.02,29,2503026.61,10558.41818,13.29901091,1.312345763
0,2008,0,2,1967,Coffee,7172,5000,11.71,40576304,28287997.77,27517600,2876171,13884435,3437195,36871483.58,36871483.58,27517600,0.48,925000,925000,7911404.63,1,36607311,25520992.05,19507400,1,1.88,1,1,49330.73,36147.25,3153,132660410.4,5104.19841,6.878239071,1.87658586
